,Unnamed: 0,gbif_id,taxon_name,decimal_latitude,decimal_longitude,coordinates,present/pseudo_absent,band 1,band 2,band 3,band 4,band 5,band 6,band 7,band 8,band 9,band 10,band 11,band 12,band 13,band 14,band 15,band 16,band 17,band 18,band 19,band 20,band 21,band 22,band 23,band 24,band 25,band 26,band 27,band 28,band 29,band 30,band 31,band 32,band 33,band 34,band 35,band 36,band 37,band 38,band 39,band 40,band 41
20,20,1883554872,Kobus vardonii,-13.050238,31.739726,POINT (31.739726 -13.050238),1,2.334156,143.0,26.0,1889.02,80.17,-0.55,8.45,113.96,104310.0,104310.0,283.0,207.0,12.0,131.27,131.27,2615.34,188.82,162.37,625.5,120.0,67.0,0.0094573945,241.0,272.0,201.0,848.0,214.0,0.0,112.0,570.0,0.0,269.0,0.0,144.0,57.0,2754.0,358.0,107.0,251.0,256.0,201.0
21,21,1453206079,Kobus vardonii,-15.077848,25.89217,POINT (25.89217 -15.077848),1,0.31101966,136.0,9.0,1747.67,78.89,-0.49,9.2,113.27,90198.0,90198.0,251.0,164.0,12.0,115.41,120.51,2342.66,170.42,149.98,518.0,75.0,45.0,0.00091194786,209.0,238.0,163.0,898.0,225.0,0.0,114.0,624.0,0.0,357.0,3.0,150.0,55.0,3055.0,329.0,58.0,271.0,228.0,163.0
22,22,1562869231,Kobus vardonii,-12.933646,31.78196,POINT (31.78196 -12.933646),1,2.3466134,143.0,26.0,1895.54,71.6,-0.56,8.4,114.16,105030.0,105030.0,285.0,209.0,12.0,132.12,132.12,2592.85,189.05,162.91,631.0,120.0,67.0,0.0016271672,243.0,273.0,203.0,843.0,212.0,0.0,111.0,564.0,0.0,266.0,0.0,144.0,57.0,2766.0,358.0,109.0,249.0,258.0,203.0
23,23,1883918107,Kobus vardonii,-13.075697,31.719594,POINT (31.719594 -13.075697),1,2.334156,143.0,26.0,1889.02,80.17,-0.55,8.45,113.96,104310.0,104310.0,283.0,207.0,12.0,131.27,131.27,2615.34,188.82,162.37,625.5,120.0,67.0,0.0094573945,241.0,272.0,201.0,848.0,214.0,0.0,112.0,570.0,0.0,269.0,0.0,144.0,57.0,2754.0,358.0,107.0,251.0,256.0,201.0
24,24,1703159473,Kobus vardonii,-14.838579,25.946116,POINT (25.946116 -14.838579),1,3.0575414,136.0,9.0,1745.1,78.11,-0.47,9.0,116.78,90162.0,90162.0,252.0,163.0,12.0,115.9,121.18,2300.05,169.45,149.19,519.0,75.0,45.0,0.0016608578,208.0,237.0,164.0,919.0,228.0,0.0,113.0,635.0,0.0,365.0,3.0,149.0,55.0,2983.0,328.0,59.0,269.0,227.0,164.0
25,25,1883559962,Kobus vardonii,-13.142057,31.724758,POINT (31.724758 -13.142057),1,2.3009026,143.0,26.0,1911.03,72.2,-0.56,8.6,111.33,105426.0,105426.0,286.0,210.0,12.0,132.68,132.68,2664.51,191.35,164.44,634.0,120.0,67.0,0.00085426745,244.0,275.0,203.0,839.0,213.0,0.0,112.0,562.0,0.0,265.0,0.0,145.0,57.0,2807.0,362.0,108.0,254.0,260.0,203.0
26,26,1703159566,Kobus vardonii,-15.152514000000002,25.864414,POINT (25.864414 -15.152514),1,2.1138,136.0,9.0,1747.82,79.26,-0.49,9.25,111.87,90144.0,90144.0,251.0,164.0,12.0,115.18,120.34,2357.13,170.88,150.17,517.0,75.0,45.0,0.0030979256,209.0,238.0,163.0,890.0,224.0,0.0,113.0,621.0,0.0,354.0,3.0,150.0,55.0,3080.0,329.0,57.0,272.0,229.0,163.0
27,27,1702487237,Kobus vardonii,-12.806122,31.939496,POINT (31.939496 -12.806122),1,4.026732,143.0,26.0,1874.58,79.81,-0.55,8.35,116.12,104940.0,104940.0,283.0,210.0,12.0,131.2,131.2,2500.88,186.54,160.93,629.5,120.0,67.0,0.0004284882,243.0,273.0,203.0,847.0,211.0,0.0,112.0,566.0,0.0,264.0,0.0,141.0,57.0,2716.0,356.0,110.0,246.0,258.0,203.0
28,28,1562871474,Kobus vardonii,-13.056781,31.708806,POINT (31.708806 -13.056781),1,2.334156,143.0,26.0,1889.02,80.17,-0.55,8.45,113.96,104310.0,104310.0,283.0,207.0,12.0,131.27,131.27,2615.34,188.82,162.37,625.5,120.0,67.0,0.0094573945,241.0,272.0,201.0,848.0,214.0,0.0,112.0,570.0,0.0,269.0,0.0,144.0,57.0,2754.0,358.0,107.0,251.0,256.0,201.0
29,29,1891324161,Kobus vardonii,-13.185134,31.796607,POINT (31.796607 -13.185134),1,0.21346307,143.0,26.0,1913.72,71.99,-0.56,8.75,110.89,104958.0,104958.0,285.0,209.0,12.0,132.58,132.58,2716.29,192.18,164.63,631.5,120.0,67.0,0.0053578555,243.0,275.0,202.0,842.0,213.0,0.0,110.0,559.0,0.0,266.0,0.0,147.0,57.0,2840.0,362.0,106.0,256.0,259.0,202.0
30,30,1052605728,Kobus vardonii,-12.539023,30.38906,POINT (30.38906 -12.539023),1,5.1020465,128.0,25.0,1609.87,84.68,-0.31,7.25,170.77,87588.0,87588.0,234.0,158.0,12.0,110.4,110.4,2211.35,159.07,139.79,506.5,171.0,47.0,0.003999596,202.0,226.0,167.0,1106.0,265.0,0.0,117.0,782.0,0.0,380.0,0.0,126.0,57.0,2381.0,309.0,88.0,221.0,216.0,167.0
31,31,1883501898,Kobus vardonii,-14.614102,26.393859000000006,POINT (26.393859 -14.614102),1,3.5256395,128.0,25.0,1723.93,76.38,-0.44,8.6,125.93,89658.0,89658.0,249.0,163.0,12.0,115.3,120.31,2220.92,166.69,147.01,516.0,171.0,47.0,0.0055013313,207.0,234.0,165.0,958.0,236.0,0.0,113.0,655.0,0.0,150.0,3.0,146.0,56.0,2811.0,324.0,64.0,260.0,223.0,166.0
32,32,1883501838,Kobus vardonii,-14.754307,26.218426,POINT (26.218426 -14.754307),1,4.8201127,130.0,15.0,1734.15,77.51,-0.46,8.9,120.48,90036.0,90036.0,251.0,164.0,12.0,115.53,120.49,2264.73,168.31,148.16,519.0,403.0,58.0,0.0037851613,208.0,236.0,165.0,934.0,233.0,0.0,113.0,644.0,0.0,374.0,3.0,147.0,55.0,2921.0,326.0,61.0,265.0,226.0,165.0
33,33,1913162012,Kobus vardonii,-13.183413,33.062705,POINT (33.062705 -13.183413),1,2.782006,136.0,32.0,1619.22,79.33,-0.48,6.85,141.92,92970.0,92970.0,249.0,187.0,12.0,112.03,112.03,1940.95,159.4,142.95,545.5,187.0,48.0,0.0027535574,215.0,240.0,180.0,846.0,218.0,0.0,117.0,600.0,2.0,266.0,2.0,120.0,59.0,2284.0,306.0,103.0,203.0,230.0,180.0
34,34,1098894688,Kobus vardonii,-12.402934,30.391897,POINT (30.391897 -12.402934),1,5.436823,128.0,25.0,1612.84,84.17,-0.3,7.3,175.49,88380.0,88380.0,235.0,161.0,12.0,111.05,111.05,2180.0,158.77,139.66,512.0,171.0,47.0,0.0036845386,204.0,228.0,169.0,1132.0,268.0,0.0,116.0,792.0,0.0,388.0,0.0,125.0,56.0,2375.0,310.0,90.0,220.0,218.0,169.0
35,35,1883502127,Kobus vardonii,-14.604601999999998,26.3087,POINT (26.3087 -14.604602),1,3.2551756,130.0,15.0,1725.28,76.42,-0.45,8.65,125.2,89640.0,89640.0,251.0,163.0,12.0,115.55,120.62,2220.23,166.69,146.83,517.5,403.0,58.0,0.005652497,207.0,234.0,165.0,956.0,235.0,0.0,112.0,653.0,0.0,382.0,3.0,146.0,55.0,2810.0,324.0,63.0,261.0,224.0,166.0
36,36,1038696541,Kobus vardonii,-11.926477,32.251740000000005,POINT (32.25174000000001 -11.926477),1,2.370768,143.0,26.0,1781.23,87.96,-0.49,7.85,133.34,102564.0,102564.0,273.0,207.0,12.0,125.9,125.9,2270.48,176.05,152.07,612.5,120.0,67.0,0.0017398095,237.0,266.0,200.0,904.0,219.0,0.0,112.0,605.0,1.0,278.0,1.0,129.0,56.0,2545.0,343.0,114.0,229.0,251.0,200.0
37,37,1703159436,Kobus vardonii,-14.951093,25.964181,POINT (25.964181 -14.951093),1,5.5141697,130.0,15.0,1748.16,78.52,-0.48,9.15,114.81,90468.0,90468.0,252.0,165.0,12.0,115.91,121.02,2313.27,170.07,149.74,520.0,403.0,58.0,0.0012836935,209.0,238.0,164.0,907.0,226.0,0.0,113.0,628.0,0.0,361.0,3.0,149.0,55.0,3024.0,329.0,59.0,270.0,228.0,164.0
38,38,1038696536,Kobus vardonii,-12.596114,30.252228,POINT (30.252228 -12.596114),1,4.7901936,128.0,25.0,1613.89,84.63,-0.32,7.25,169.88,87498.0,87498.0,234.0,157.0,12.0,110.55,110.55,2219.87,159.25,140.15,505.5,171.0,47.0,0.0034905968,202.0,226.0,166.0,1105.0,265.0,0.0,117.0,783.0,0.0,381.0,0.0,127.0,57.0,2393.0,309.0,87.0,222.0,216.0,166.0
39,39,1702480714,Kobus vardonii,-12.991176,31.858222,POINT (31.858222 -12.991176),1,2.5743449,143.0,26.0,1900.83,71.68,-0.56,8.45,113.15,105390.0,105390.0,286.0,210.0,12.0,132.85,132.85,2576.32,189.47,163.28,633.5,120.0,67.0,0.0005147096,244.0,274.0,204.0,839.0,210.0,0.0,112.0,558.0,0.0,263.0,0.0,144.0,57.0,2752.0,359.0,109.0,250.0,259.0,204.0
40,40,891062128,Kobus vardonii,-13.165415,31.668481,POINT (31.668481 -13.165415),1,2.3009026,143.0,26.0,1911.03,72.2,-0.56,8.6,111.33,105426.0,105426.0,286.0,210.0,12.0,132.68,132.68,2664.51,191.35,164.44,634.0,120.0,67.0,0.00085426745,244.0,275.0,203.0,839.0,213.0,0.0,112.0,562.0,0.0,265.0,0.0,145.0,57.0,2807.0,362.0,108.0,254.0,260.0,203.0
41,41,1453339942,Kobus vardonii,-12.764214,32.080239,POINT (32.080239 -12.764214),1,4.9390216,143.0,26.0,1869.69,79.54,-0.55,8.3,117.86,104796.0,104796.0,283.0,210.0,12.0,130.93,130.93,2469.6,185.66,160.5,630.0,120.0,67.0,0.004226045,243.0,273.0,203.0,849.0,211.0,0.0,112.0,565.0,0.0,263.0,0.0,140.0,57.0,2702.0,354.0,111.0,243.0,258.0,203.0
42,42,1580127719,Kobus vardonii,-13.03667,31.486816,POINT (31.486816 -13.03667),1,4.4096246,143.0,26.0,1855.5,80.23,-0.53,8.3,118.58,103104.0,103104.0,277.0,205.0,12.0,128.27,128.27,2593.74,185.64,159.94,617.0,120.0,67.0,0.0039127683,239.0,269.0,199.0,868.0,221.0,0.0,114.0,596.0,0.0,278.0,0.0,140.0,56.0,2747.0,355.0,108.0,247.0,253.0,199.0
43,43,1883560064,Kobus vardonii,-13.067086,31.750531,POINT (31.750531 -13.067086),1,2.6700997,143.0,26.0,1909.18,72.06,-0.56,8.5,111.98,105480.0,105480.0,287.0,210.0,12.0,133.19,133.19,2598.62,190.12,163.67,634.0,120.0,67.0,0.0008527082,244.0,274.0,204.0,837.0,211.0,0.0,112.0,559.0,0.0,264.0,0.0,145.0,57.0,2766.0,360.0,108.0,252.0,259.0,204.0
44,44,1453333011,Kobus vardonii,-14.721584,26.26355,POINT (26.26355 -14.721584),1,5.9695563,130.0,15.0,1734.53,77.14,-0.46,8.8,122.52,90306.0,90306.0,252.0,165.0,12.0,115.76,120.85,2249.46,168.14,148.1,522.0,403.0,58.0,0.0010838507,209.0,236.0,166.0,943.0,234.0,0.0,113.0,648.0,0.0,377.0,3.0,147.0,55.0,2878.0,326.0,63.0,263.0,226.0,167.0
45,45,1890684121,Kobus vardonii,-13.029284,31.789354,POINT (31.789354 -13.029284),1,2.6700997,143.0,26.0,1909.18,72.06,-0.56,8.5,111.98,105480.0,105480.0,287.0,210.0,12.0,133.19,133.19,2598.62,190.12,163.67,634.0,120.0,67.0,0.0008527082,244.0,274.0,204.0,837.0,211.0,0.0,112.0,559.0,0.0,264.0,0.0,145.0,57.0,2766.0,360.0,108.0,252.0,259.0,204.0
46,46,1305149828,Kobus vardonii,-13.059634,31.737321,POINT (31.737321 -13.059634),1,2.334156,143.0,26.0,1889.02,80.17,-0.55,8.45,113.96,104310.0,104310.0,283.0,207.0,12.0,131.27,131.27,2615.34,188.82,162.37,625.5,120.0,67.0,0.0094573945,241.0,272.0,201.0,848.0,214.0,0.0,112.0,570.0,0.0,269.0,0.0,144.0,57.0,2754.0,358.0,107.0,251.0,256.0,201.0
