,Unnamed: 0,gbif_id,taxon_name,decimal_latitude,decimal_longitude,coordinates,present/pseudo_absent,band 1,band 2,band 3,band 4,band 5,band 6,band 7,band 8,band 9,band 10,band 11,band 12,band 13,band 14,band 15,band 16,band 17,band 18,band 19,band 20,band 21,band 22,band 23,band 24,band 25,band 26,band 27,band 28,band 29,band 30,band 31,band 32,band 33,band 34,band 35,band 36,band 37,band 38,band 39,band 40,band 41
105,105,1671728090,Damaliscus pygargus,-21.366575286211127,22.4031850194178,POINT (22.4031850194178 -21.36657528621113),0,2.2613475,152.0,11.0,1834.65,77.05,-0.77,11.55,49.83,92196.0,92196.0,234.0,190.0,12.0,104.23,104.23,4002.15,193.76,187.89,494.0,40.0,59.0,0.0050687017,213.0,254.0,151.0,421.0,102.0,0.0,96.0,255.0,2.0,221.0,2.0,165.0,57.0,4307.0,336.0,47.0,289.0,253.0,151.0
106,106,1838373585,Damaliscus pygargus,-39.23094187273463,15.872819393458672,POINT (15.87281939345867 -39.23094187273463),0,-3.4e+38,-3.4e+38,-3.4e+38,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-3.4e+38,-3.4e+38,-3.4e+38,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
107,107,1838396681,Damaliscus pygargus,-29.127029159828464,17.88242460738583,POINT (17.88242460738583 -29.12702915982846),0,1.2211965,142.0,15.0,1545.12,91.72,-0.92,12.55,16.24,76140.0,76140.0,174.0,154.0,12.0,66.18,191.06,5312.63,191.78,64.21,391.0,36.0,54.0,0.012118507,176.0,229.0,116.0,128.0,18.0,4.0,45.0,50.0,15.0,18.0,50.0,148.0,54.0,4430.0,312.0,41.0,271.0,123.0,218.0
108,108,1134971480,Damaliscus pygargus,-28.12968288479503,15.378308317916948,POINT (15.37830831791695 -28.12968288479503),0,-3.4e+38,-3.4e+38,-3.4e+38,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-3.4e+38,-3.4e+38,-3.4e+38,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
109,109,1806346932,Damaliscus pygargus,-26.39287940644548,21.85205303303952,POINT (21.85205303303952 -26.39287940644548),0,1.3186291,153.0,3.0,1808.81,86.46,-0.86,15.4,24.81,85050.0,85050.0,216.0,185.0,12.0,88.2,88.2,5348.38,209.78,190.13,424.0,22.0,52.0,0.0004349617,197.0,261.0,121.0,245.0,47.0,1.0,77.0,130.0,7.0,111.0,7.0,181.0,53.0,5497.0,350.0,11.0,339.0,254.0,121.0
110,110,1838056821,Damaliscus pygargus,-31.281821074761357,30.682361581399302,POINT (30.6823615813993 -31.28182107476136),0,-3.4e+38,-3.4e+38,-3.4e+38,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-3.4e+38,-3.4e+38,-3.4e+38,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
111,111,1850897518,Damaliscus pygargus,-21.840688085166267,20.796577043712873,POINT (20.79657704371287 -21.84068808516627),0,2.3221438,150.0,3.0,1810.97,78.35,-0.78,12.0,45.94,87930.0,87930.0,226.0,176.0,12.0,101.37,101.37,4151.13,189.46,173.85,463.0,32.0,53.0,0.0025436922,203.0,248.0,141.0,392.0,90.0,1.0,91.0,223.0,5.0,190.0,5.0,169.0,57.0,4387.0,327.0,34.0,293.0,240.0,141.0
112,112,1134962817,Damaliscus pygargus,-27.4493606690467,38.75811102470141,POINT (38.75811102470141 -27.4493606690467),0,-3.4e+38,-3.4e+38,-3.4e+38,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-3.4e+38,-3.4e+38,-3.4e+38,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
113,113,1898782805,Damaliscus pygargus,-28.51747305485467,13.91504069464584,POINT (13.91504069464584 -28.51747305485467),0,-3.4e+38,-3.4e+38,-3.4e+38,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-3.4e+38,-3.4e+38,-3.4e+38,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
114,114,1838345798,Damaliscus pygargus,-28.31501947593821,18.16700101126775,POINT (18.16700101126775 -28.31501947593821),0,4.907972,124.0,5.0,1781.29,94.55,-0.95,13.85,10.8,85536.0,85536.0,204.0,174.0,12.0,79.01,100.52,5880.89,215.71,164.55,441.0,34.0,70.0,0.010609758,198.0,257.0,130.0,97.0,23.0,3.0,66.0,52.0,12.0,31.0,13.0,174.0,56.0,4981.0,346.0,39.0,307.0,235.0,144.0
