,Unnamed: 0,occurrence_id,gbif_id,occurrence_type,basis_of_record,event_date,decimal_latitude,decimal_longitude,dataset_key,has_geospatial_issues,label,taxonvariant_id,back_key,species,dec_lat,dec_lon,coordinates,lonlat,in_dist_polygon,year,month
385,412888,1246141,1098628595,NBDB,HUMAN_OBSERVATION,1994-04-19 00:00:00+00:00,-0.4747,29.8148,026af01f-d227-476f-9e81-d5273eca6a2b,0,Kobus kob,106218,5220161,Kobus kob,4,4,POINT (29.8148 -0.4747),"(29.8148, -0.4747)",True,1994,4
386,412895,1246148,1098628602,NBDB,HUMAN_OBSERVATION,1995-11-17 00:00:00+00:00,2.2362,32.1541,026af01f-d227-476f-9e81-d5273eca6a2b,0,Kobus kob,106218,5220161,Kobus kob,4,4,POINT (32.1541 2.2362),"(32.1541, 2.2362)",True,1995,11
387,412898,1246151,1098628605,NBDB,HUMAN_OBSERVATION,2010-01-01 00:00:00+00:00,2.419,31.9905,026af01f-d227-476f-9e81-d5273eca6a2b,0,Kobus kob,106218,5220161,Kobus kob,3,4,POINT (31.9905 2.419),"(31.9905, 2.419)",True,2010,1
388,412900,1246153,1098628607,NBDB,HUMAN_OBSERVATION,2010-01-01 00:00:00+00:00,2.1274,32.2119,026af01f-d227-476f-9e81-d5273eca6a2b,0,Kobus kob,106218,5220161,Kobus kob,4,4,POINT (32.2119 2.1274),"(32.2119, 2.1274)",True,2010,1
389,412906,1246159,1098628613,NBDB,HUMAN_OBSERVATION,1995-10-17 00:00:00+00:00,0.8103,30.0353,026af01f-d227-476f-9e81-d5273eca6a2b,0,Kobus kob,106218,5220161,Kobus kob,4,4,POINT (30.0353 0.8103),"(30.0353, 0.8103)",True,1995,10
392,412909,1246162,1098628616,NBDB,HUMAN_OBSERVATION,2010-01-01 00:00:00+00:00,1.8772,32.072,026af01f-d227-476f-9e81-d5273eca6a2b,0,Kobus kob,106218,5220161,Kobus kob,4,3,POINT (32.072 1.8772),"(32.072, 1.8772)",True,2010,1
394,412911,1246164,1098628618,NBDB,HUMAN_OBSERVATION,1994-04-16 00:00:00+00:00,-0.5174,29.8279,026af01f-d227-476f-9e81-d5273eca6a2b,0,Kobus kob,106218,5220161,Kobus kob,4,4,POINT (29.8279 -0.5174),"(29.8279, -0.5174)",True,1994,4
397,413071,1246324,1098895168,,HUMAN_OBSERVATION,2015-03-12 16:15:48+00:00,-0.544071,29.754746,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Kobus kob,106218,5220161,Kobus kob,6,6,POINT (29.754746 -0.544071),"(29.754746, -0.544071)",True,2015,3
398,424096,1257349,1802747618,,HUMAN_OBSERVATION,2017-12-29 12:40:00+00:00,11.575427,1.594009,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Kobus kob kob,106220,7261414,Kobus kob,6,6,POINT (1.594009 11.575427),"(1.594009, 11.575427)",True,2017,12
399,424136,1257389,1425109237,,HUMAN_OBSERVATION,2013-01-20 00:00:00+00:00,11.26034,1.24072,6a01a01f-10a9-49bc-b0d1-2bd04493dc20,0,Kobus kob,106218,5220161,Kobus kob,5,5,POINT (1.24072 11.26034),"(1.24072, 11.26034)",True,2013,1
